Item;Descrição (Item);Subgrupo de itens - Descrição (Sub Grupo)
161;Titan - MDF  - 18;PAINEL
162;Mint - MDF  - 18;PAINEL
163;Genérico Capa 18MM  - 18;PAINEL
164;Louro Freijo Guara - MDF  - 18;PAINEL
165;Cinza Puro - MDF  - 15;PAINEL
166;Cinza Puro - MDP  - 15;PAINEL
168;Gaia MDF 1F  - 6;PAINEL
169;Gaia - MDF  - 15;PAINEL
170;Corazzi - MDF  - 15;PAINEL
171;Cha Canela Chess MDF  - 18;PAINEL
172;Milkshake MDF 1F  - 6;PAINEL
173;Jade - MDF  - 18;PAINEL
174;Genérico  - 25;PAINEL
175;Jaspe - MDF  - 18;PAINEL
176;Niquel MDF 1F  - 6;PAINEL
177;Tauari Guarapares - MDF  - 18;PAINEL
178;Linho Cacau - MDF  - 18;PAINEL
179;Preto Liso - MDF  - 18;PAINEL
180;Tauari Guararapes - MDF  - 25;PAINEL
181;Tauari Guararapes - MDF  - 15;PAINEL
182;Tauari Guararapes MDF 1F  - 6;PAINEL
183;Branco Trama - MDF  - 18;PAINEL
184;Louro Freijó - MDP  - 15;PAINEL
185;Louro Freijó - MDP  - 25;PAINEL
186;Branco Naval - MDF  - 18;PAINEL
187;Itapua Naval - MDF  - 18;PAINEL
188;Nogueira Caiena MDF 1F  - 6;PAINEL
201;Cancun MDF 1F  - 6;PAINEL
202;Asti MDF 1F  - 6;PAINEL
203;Cristallo Branco Diamante MDF 1F  - 6;PAINEL
204;Bronze MDF 1F  - 6;PAINEL
205;Camelo MDF 1F  - 6;PAINEL
206;Cristalo Preto MDF 1F  - 6;PAINEL
208;Cristallo Cinza Sagrado MDF 1F  - 6;PAINEL
209;Damasco MDF 1F  - 6;PAINEL
210;Deva MDF 1F  - 6;PAINEL
211;Ebano Chess MDF 1F  - 6;PAINEL
212;Jaspe MDF 1F  - 6;PAINEL
213;Cristallo Gianduia MDF 1F  - 6;PAINEL
214;Glamour MDF 1F  - 6;PAINEL
215;Imbuia MDF 1F  - 6;PAINEL
216;Louro Freijo MDF 1F  - 6;PAINEL
217;Lineo Textil MDF 1F  - 6;PAINEL
218;Manhattan MDF 1F  - 6;PAINEL
219;Marmo MDF 1F  - 6;PAINEL
220;Mint - MDF 1F  - 6;PAINEL
221;Cristallo Opala MDF 1F  - 6;PAINEL
222;Petra MDF 1F  - 6;PAINEL
223;Reali MDF 1F  - 6;PAINEL
224;Titan MDF 1F  - 6;PAINEL
225;Vulcano MDF 1F  - 6;PAINEL
226;Fog MDF 1F  - 6;PAINEL
227;Floripa MDF  - 15;PAINEL
228;Floripa MDF  - 18;PAINEL
229;Floripa MDF  - 25;PAINEL
230;Floripa MDF 1F  - 6;PAINEL
231;Floripa MDP  - 25;PAINEL
232;Louro Freijo Sudati - MDF  - 18;PAINEL
233;Grafito MDF 2F  - 6;PAINEL
234;Branco Supremo - MDP  - 18;PAINEL
235;Carv. Mel MDF 2F   - 6;PAINEL
236;Cinza Chumbo Berneck MDF  - 18;PAINEL
237;Frape MDF 2F  - 6;PAINEL
238;Santiago MDF 2F  - 6;PAINEL
239;Cinza Puro - MDP  - 25;PAINEL
240;Beige MDF 2F  - 6;PAINEL
242;Asti - MDF  - 25;PAINEL
243;Mint - MDP  - 15;PAINEL
244;Mint - MDP  - 25;PAINEL
250;Ameixa Negra MDF 2F  - 6;PAINEL
251;Bianco Ravena MDF 2F  - 6;PAINEL
252;Cinza Puro MDF 2F  - 6;PAINEL
253;Marsala Guararapes MDF  - 18;PAINEL
254;Atlantica MDP  - 18;PAINEL
255;Petar MDF  - 18;PAINEL
256;Pau Ferro MDF  - 18;PAINEL
257;Pau Ferro MDP  - 18;PAINEL
258;Jalapão MDF  - 18;PAINEL
260;Quartzo MDF  - 25;PAINEL
261;Pau Ferro MDF  - 25;PAINEL
262;Petar MDF  - 25;PAINEL
263;Pau Ferro MDF 2F  - 6;PAINEL
264;Atlantica MDF 2F  - 6;PAINEL
265;Petar MDF 2F  - 6;PAINEL
266;Jalapão MDF 2F  - 6;PAINEL
267;Quartzo MDF 2F  - 6;PAINEL
268;Ouro MDF  - 18;PAINEL
269;Jalapão MDF  - 15;PAINEL
270;Atlantica MDF  - 18;PAINEL
271;Atlantica MDF  - 25;PAINEL
272;Petar MDF  - 15;PAINEL
273;Glamour MDF  - 25;PAINEL
274;Mint MDF 2F  - 6;PAINEL
275;Carv. Natural MDF 2F  - 6;PAINEL
276;Carv. Natural MDF  - 15;PAINEL
278;Itapuã  - 15;PAINEL
279;Glamour MDF  - 15;PAINEL
280;Glamour MDF 2F  - 6;PAINEL
281;Carv. Natural  - 25;PAINEL
282;Urbi MDF  - 6;PAINEL
283;Linum MDF  - 6;PAINEL
284;Cabiuna Nobre MDF  - 6;PAINEL
285;Raphia MDF  - 6;PAINEL
286;Branco Supremo MDF  - 6;PAINEL
287;Serrano MDF  - 6;PAINEL
288;Amazonia MDF  - 6;PAINEL
289;Carvalho Malva MDF  - 6;PAINEL
290;Carvalho Malva MDF  - 15;PAINEL
291;Carvalho Malva MDF  - 18;PAINEL
292;Carvalho Malva MDF  - 25;PAINEL
293;Urbi MDF  - 15;PAINEL
294;Urbi MDF  - 18;PAINEL
295;Urbi MDF  - 25;PAINEL
296;Cabiuna MDF  - 18;PAINEL
297;Serrano MDF  - 18;PAINEL
298;Serrano MDF  - 25;PAINEL
299;Raphia MDF  - 18;PAINEL
300;Cabiuna Nobre MDF  - 25;PAINEL
