Item	Descrição (Item)	Subgrupo de itens - Descrição (Sub Grupo)
10.02.1180	FITA BORDA 35X1.0MM CAMELO	BORDA
10.02.1181	FITA BORDA 45X1.0MM CAMELO	BORDA
10.02.1182	FITA BORDA 22X1.0MM VULCANO	BORDA
10.02.1183	FITA BORDA 45X1.0MM VULCANO	BORDA
10.02.1184	FITA BORDA 22X1.0MM REALI	BORDA
10.02.1185	FITA BORDA 45X1.0MM REALI	BORDA
10.02.1186	FITA BORDA 45X1.0MM NIQUEL	BORDA
10.02.1187	FITA BORDA 22X1.0MM NIQUEL	BORDA
10.02.1188	FITA BORDA 22X1.0MM IMBUIA	BORDA
10.02.1189	FITA BORDA 45X1.0MM IMBUIA	BORDA
10.02.1190	FITA BORDA 22X1.0MM CINZA PURO	BORDA
10.02.1191	FITA BORDA 35X1.0MM CINZA PURO	BORDA
10.02.1192	FITA BORDA 45X1.0MM CINZA PURO	BORDA
10.02.1193	FITA BORDA 19X1.0MM FRAPE	BORDA
10.02.1194	FITA BORDA 22X1.0MM FRAPE	BORDA
10.02.1195	FITA BORDA 29X1.0MM FRAPE	BORDA
10.02.1196	FITA BORDA 35X1.0MM FRAPE	BORDA
10.02.1197	FITA BORDA 45X1.0MM FRAPE	BORDA
10.02.1198	FITA BORDA 19X0.45MM FRAPE	BORDA
10.02.1200	FITA BORDA 19X0.45MM GRAFITO	BORDA
10.02.1201	FITA BORDA 19X1.0MM GRAFITO	BORDA
10.02.1202	FITA BORDA 29X1.0MM GRAFITO	BORDA
10.02.1203	FITA BORDA 35X1.0MM GRAFITO	BORDA
10.02.1204	FITA BORDA 22X1.0MM EBANO CHESS	BORDA
10.02.1205	FITA BORDA 45X1.0MM GRAFITO	BORDA
10.02.1207	FITA BORDA 45X1.0MM EBANO CHESS	BORDA
10.02.1208	FITA BORDA 22X1.0MM GRAFITO	BORDA
10.02.1209	FITA BORDA 29X1.0MM EBANO CHESS	BORDA
10.02.1210	FITA BORDA 22X1.0MM MINT	BORDA
10.02.1211	FITA BORDA 35X1.0MM MINT	BORDA
10.02.1212	FITA BORDA 45X1.0MM MINT	BORDA
10.02.1213	FITA BORDA 19X1.0MM BEIGE	BORDA
10.02.1214	FITA BORDA 29X1.0MM BEIGE	BORDA
10.02.1215	FITA BORDA 45X1.0MM BEIGE	BORDA
10.02.1216	FITA BORDA 22X1.0MM DEVA	BORDA
10.02.1217	FITA BORDA 45X1.0MM DEVA	BORDA
10.02.1218	FITA BORDA 22X1.0MM BEIGE	BORDA
10.02.1219	FITA BORDA 22X1.0MM DAMASCO	BORDA
10.02.1220	FITA BORDA 45X1.0MM DAMASCO	BORDA
10.02.1221	FITA BORDA 35X1.0MM DAMASCO	BORDA
10.02.1222	FITA BORDA 35X1.0MM CARVALHO MEL	BORDA
10.02.1223	FITA BORDA 35X1.0MM CRISTALLO PRETO	BORDA
10.02.1224	FITA BORDA 35X1.0MM LOURO FREIJO	BORDA
10.02.1225	FITA BORDA 35X1.0MM PETRA	BORDA
10.02.1226	FITA BORDA 35X1.0MM BRONZE	BORDA
10.02.1227	FITA BORDA 35X1.0MM FOG	BORDA
10.02.1228	FITA BORDA 35X1.0MM BIANCO RAVENA	BORDA
10.02.1229	FITA BORDA 35X1.0MM VULCANO	BORDA
10.02.1230	FITA BORDA 35X1.0MM REALI	BORDA
10.02.1231	FITA BORDA 35X1.0MM EBANO CHESS	BORDA
10.02.1232	FITA BORDA 35X1.0MM DEVA	BORDA
10.02.1233	FITA BORDA 45X1.0MM MANHATTAN	BORDA
10.02.1234	FITA BORDA 35X1.0MM BEIGE	BORDA
10.02.1235	FITA BORDA 35X1.0MM AMEIXA NEGRA	BORDA
10.02.1236	FITA BORDA 35X1.0MM MARMO	BORDA
10.02.1237	FITA BORDA 35X1.0MM MANHATTAN	BORDA
10.02.1238	FITA BORDA 35X1.0MM NOGUEIRA CAIENA	BORDA
10.02.1239	FITA BORDA 35X1.0MM CARVALHO NATURAL	BORDA
10.02.1240	FITA BORDA 35X1.0MM IMBUIA	BORDA
10.02.1241	FITA BORDA 22X1.0MM CANCUN	BORDA
10.02.1242	FITA BORDA 35X1.0MM CANCUN	BORDA
10.02.1243	FITA BORDA 22X1.0MM TITAN	BORDA
10.02.1244	FITA BORDA 45X1.0MM CANCUN	BORDA
10.02.1245	FITA BORDA 35X1.0MM TITAN	BORDA
10.02.1246	FITA BORDA 42X1.0MM TITAN	BORDA
10.02.1247	FITA BORDA 35X1.0MM NIQUEL	BORDA
10.02.1248	FITA BORDA 19X0.45MM BEIGE	BORDA
10.02.1250	FITA BORDA 22X1.0MM JASPE	BORDA
10.02.1251	FITA BORDA 35X1.0MM JASPE	BORDA
10.02.1252	FITA BORDA 42X1.0MM JASPE	BORDA
10.02.1253	FITA BORDA 29X1.0MM CINZA PURO	BORDA
10.02.1254	FITA BORDA 19X1.0MM CINZA PURO	BORDA
10.02.1255	FITA BORDA 19X0.45MM CINZA PURO	BORDA
10.02.1256	FITA BORDA 50X0.45 BRANCO	BORDA
10.02.1257	FITA BORDA 50X0.45 AMEIXA NEGRA	BORDA
10.02.1258	FITA BORDA 50X0.45 CRISTALLO GIANDUIA	BORDA
10.02.1259	FITA BORDA 50X0.45 CRISTALLO PRETO	BORDA
10.02.1260	FITA BORDA 50X0.45 NOGUEIRA CAIENA	BORDA
10.02.1261	FITA BORDA 50X0.45 AZUL PETROLEO	BORDA
10.02.1262	FITA BORDA 50X0.45 BIANCO RAVENA	BORDA
10.02.1263	FITA BORDA 50X0.45 SANTIAGO	BORDA
10.02.1264	FITA BORDA 50X0.45 GLAMOUR	BORDA
10.02.1265	FITA BORDA 50X0.45 CARVALHO NATURAL	BORDA
10.02.1266	FITA BORDA 50X0.45 NIQUEL	BORDA
10.02.1267	FITA BORDA 50X0.45 IMBUIA	BORDA
10.02.1268	FITA BORDA 50X0.45 EBANO CHESS	BORDA
10.02.1269	FITA BORDA 50X0.45 TITAN	BORDA
10.02.1270	FITA BORDA 50X0.45 CRISTALLO BRANCO DIAMANTE	BORDA
10.02.1271	FITA BORDA 50X0.45 CARVALHO MEL	BORDA
10.02.1272	FITA BORDA 50X0.45 PETRA	BORDA
10.02.1273	FITA BORDA 50X0.45 LINEO TEXTIL	BORDA
10.02.1274	FITA BORDA 50X0.45 FOG	BORDA
10.02.1275	FITA BORDA 50X0.45 CRISTALLO OPALA	BORDA
10.02.1276	FITA BORDA 50X0.45 ASTI	BORDA
10.02.1277	FITA BORDA 50X0.45 LOURO FREIJO	BORDA
10.02.1278	FITA BORDA 50X0.45 CANCUN	BORDA
10.02.1279	FITA BORDA 50X0.45 JASPE	BORDA
10.02.1280	FITA BORDA 50X0.45 MARMO	BORDA
10.02.1281	FITA BORDA 50X0.45 BRONZE	BORDA
10.02.1282	FITA BORDA 50X0.45 CINZA SAGRADO	BORDA
10.02.1283	FITA BORDA 50X0.45 MILKSHAKE	BORDA
10.02.1284	FITA BORDA 50X0.45 AMAZONIA	BORDA
10.02.1285	FITA BORDA 50X0.45 FRAPE	BORDA
10.02.1286	FITA BORDA 50X0.45 CAMELO	BORDA
10.02.1287	FITA BORDA 50X0.45 VULCANO	BORDA
10.02.1288	FITA BORDA 50X0.45 REALI	BORDA
10.02.1289	FITA BORDA 50X0.45 CINZA PURO	BORDA
10.02.1290	FITA BORDA 50X0.45 GRAFITO	BORDA
10.02.1291	FITA BORDA 50X0.45 DEVA	BORDA
10.02.1292	FITA BORDA 50X0.45 DAMASCO	BORDA
10.02.1293	FITA BORDA 50X0.45 BEIGE	BORDA
10.02.1294	FITA BORDA 50X0.45 MINT	BORDA
10.02.1295	FITA BORDA 29X1.0MM GLAMOUR	BORDA
10.02.1296	FITA BORDA 29X1.0MM MINT	BORDA
10.02.1297	FITA BORDA 29X1.0MM ASTI	BORDA
10.02.1298	FITA BORDA 19X1.0MM MINT	BORDA
10.02.1299	FITA BORDA 29X1.0MM QUARTZO	BORDA
10.02.1300	FITA BORDA 35X1.0MM QUARTZO	BORDA
10.02.1301	FITA BORDA 50X0.45 QUARTZO	BORDA
10.02.1302	FITA BORDA 22X1.0MM QUARTZO	BORDA
10.02.1303	FITA BORDA 42X1.0MM QUARTZO	BORDA
10.02.1304	FITA BORDA 22X1.0MM JALAPAO	BORDA
10.02.1305	FITA BORDA 42X1.0MM JALAPAO	BORDA
10.02.1306	FITA BORDA 35X1.0MM JALAPAO	BORDA
10.02.1307	FITA BORDA 50X0.45 JALAPAO	BORDA
10.02.1308	FITA BORDA 35X1.0MM PAU FERRO	BORDA
